day_type,hour,mean_demand
Día laboral,0,159.03645833333334
Día laboral,1,148.84700520833334
Día laboral,2,147.595703125
Día laboral,3,159.23567708333334
Día laboral,4,229.16276041666666
Día laboral,5,418.9674479166667
Día laboral,6,661.734375
Día laboral,7,730.1393229166666
Día laboral,8,585.5520833333334
Día laboral,9,395.8092447916667
Día laboral,10,290.7486979166667
Día laboral,11,270.2102864583333
Día laboral,12,278.1197916666667
Día laboral,13,278.1510416666667
Día laboral,14,290.0110677083333
Día laboral,15,380.3899739583333
Día laboral,16,579.1888020833334
Día laboral,17,752.2311197916666
Día laboral,18,736.201171875
Día laboral,19,560.3196614583334
Día laboral,20,394.9583333333333
Día laboral,21,286.7513020833333
Día laboral,22,219.93294270833334
Día laboral,23,178.05078125
Fin de semana,0,131.4198717948718
Fin de semana,1,116.67147435897436
Fin de semana,2,113.8076923076923
Fin de semana,3,123.29967948717949
Fin de semana,4,178.61057692307693
Fin de semana,5,327.01121794871796
Fin de semana,6,512.3910256410256
Fin de semana,7,547.5448717948718
Fin de semana,8,422.7724358974359
Fin de semana,9,277.1314102564103
Fin de semana,10,212.67307692307693
Fin de semana,11,201.93429487179486
Fin de semana,12,209.38782051282053
Fin de semana,13,211.06570512820514
Fin de semana,14,221.56891025641025
Fin de semana,15,292.8958333333333
Fin de semana,16,442.5048076923077
Fin de semana,17,575.1714743589744
Fin de semana,18,575.8926282051282
Fin de semana,19,470.9855769230769
Fin de semana,20,353.66185897435895
Fin de semana,21,266.3044871794872
Fin de semana,22,199.15705128205127
Fin de semana,23,157.8028846153846
